DATE,MINTEMP,MAXTEMP,RAINFALL
8/02/2014,29.3,42.1,0
9/02/2014,30,40.4,0
10/02/2014,30.7,38.9,0
11/02/2014,22.4,39.2,14.8
12/02/2014,28,33.1,0
13/02/2014,24.3,32.5,0
14/02/2014,24.6,34.7,0
15/02/2014,24.2,33.4,0
16/02/2014,24.3,34,0
17/02/2014,26.2,35.8,0
18/02/2014,27.1,39,0
19/02/2014,24.9,37.6,0
20/02/2014,25,37.3,0
21/02/2014,23.4,38.5,0
22/02/2014,24.3,38.9,0
23/02/2014,24.1,38.3,0
24/02/2014,25,39,0
25/02/2014,24.3,40.6,0
26/02/2014,25.1,37.1,0
27/02/2014,27,38.8,0
28/02/2014,26.2,37.7,0
1/03/2014,26.5,38.6,0
2/03/2014,23.7,40.5,0
3/03/2014,27.6,42.2,0
4/03/2014,26.1,41.8,0
5/03/2014,26.2,40.7,0
6/03/2014,26.4,40.3,0
7/03/2014,26.3,42.4,0
8/03/2014,27.9,35.8,0
9/03/2014,29.7,38.4,0
10/03/2014,28.9,38,0
11/03/2014,27.6,37.3,0
12/03/2014,28.2,41,0
13/03/2014,31,41.8,0
14/03/2014,29.1,38.6,0
15/03/2014,29.5,38.4,0
16/03/2014,30.6,36.8,0
17/03/2014,26.8,37.5,0
18/03/2014,26.3,38,0
19/03/2014,27.8,40.7,0
20/03/2014,28.2,39.5,0
21/03/2014,26.6,37.6,0
22/03/2014,26.6,38.5,0
23/03/2014,26.4,42.3,0
24/03/2014,27.8,37.6,0
25/03/2014,28.6,38.1,0
26/03/2014,27.1,37.7,0
27/03/2014,27.5,34.8,0
28/03/2014,22,31.3,9.4
29/03/2014,24,36.3,0
30/03/2014,24.1,34.4,0
31/03/2014,24.5,34.6,0
1/04/2014,24.3,36,0
2/04/2014,25.7,36.8,0
3/04/2014,25.5,36.9,0
4/04/2014,23.6,35.3,0
5/04/2014,23.7,34.6,0
6/04/2014,26.3,33.9,0
7/04/2014,25,32,0
8/04/2014,20.6,34,0
9/04/2014,21.9,33.3,0
10/04/2014,22.1,34.1,0
11/04/2014,22.9,35.2,0
12/04/2014,23.6,35.2,0
13/04/2014,21.8,35.6,0
14/04/2014,21.5,35.1,0
15/04/2014,20.2,33.3,0
16/04/2014,19.3,34.4,0
17/04/2014,19.6,34.7,0
18/04/2014,19.5,34.3,0
19/04/2014,19.7,36.8,0
20/04/2014,21.5,36.8,0
21/04/2014,22.2,36.1,0
22/04/2014,22.6,35.3,0
23/04/2014,21.9,35.1,0
24/04/2014,21,35.4,0
25/04/2014,20.9,34,0
26/04/2014,24.4,33.1,0
27/04/2014,27.2,32.3,0
28/04/2014,23.8,35,3.2
29/04/2014,23.1,34.4,0
30/04/2014,21.8,32.6,0
1/05/2014,23.4,32.8,0
2/05/2014,24.4,33.1,0
3/05/2014,23.6,30.6,0
4/05/2014,21.4,29.3,0
5/05/2014,23.8,31.4,0
6/05/2014,22.9,27.2,107.4
7/05/2014,23.4,31.3,11.2
8/05/2014,25.5,32.2,0
9/05/2014,20.9,29.8,0
10/05/2014,20.8,30.5,0
11/05/2014,23.8,30.6,0
12/05/2014,22,31.1,0
13/05/2014,21.8,31.1,0
14/05/2014,20.4,32.1,0
15/05/2014,21.2,30.6,0
16/05/2014,21.1,25.2,14
17/05/2014,17.5,28.5,0.2
18/05/2014,18.1,28.8,0
